City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kingston,17.997,-76.7936,303.84,81,75,8.75,JM,1691621125
1,talnakh,69.4865,88.3972,286.6,67,100,2.94,RU,1691621286
2,brookings,44.3114,-96.7984,301.03,58,40,4.63,US,1691621286
3,port-aux-francais,-49.35,70.2167,276.07,78,95,12.27,TF,1691621286
4,san juan de miraflores,-12.1629,-76.9635,293.44,80,29,4.19,PE,1691621286
5,bethel,41.3712,-73.414,301.75,58,0,3.6,US,1691621286
6,pokachi,61.7198,75.3683,282.75,85,100,6.62,RU,1691621286
7,vila velha,-20.3297,-40.2925,296.12,88,75,4.12,BR,1691621287
8,vila franca do campo,37.7167,-25.4333,296.38,95,100,3.34,PT,1691621287
9,arkhangel'sk,64.5401,40.5433,288.63,91,3,2.27,RU,1691621287
10,longyearbyen,78.2186,15.6401,282.06,76,0,5.14,SJ,1691621287
11,aglona,56.1333,27.0167,284.35,95,64,1.88,LV,1691621287
12,puerto natales,-51.7236,-72.4875,275.28,96,89,1.61,CL,1691621127
13,ushuaia,-54.8,-68.3,280.96,61,75,5.66,AR,1691621081
14,raja,8.4596,25.678,293.54,97,92,1.92,SS,1691621288
15,sovetskaya gavan',48.9723,140.2878,289.69,81,100,3.23,RU,1691621288
16,nadi,-17.8,177.4167,299.15,65,75,2.57,FJ,1691621288
17,dudinka,69.4058,86.1778,286.83,72,100,8.91,RU,1691621288
18,grytviken,-54.2811,-36.5092,267.64,94,41,0.44,GS,1691621288
19,flying fish cove,-10.4217,105.6791,296.97,83,75,5.14,CX,1691621289
20,ust'-ilimsk,58.0006,102.6619,290.39,85,100,1.18,RU,1691621289
21,stanley,54.868,-1.6985,289.7,86,75,3.09,GB,1691621083
22,adamstown,-25.066,-130.1015,292.04,64,71,9.1,PN,1691621289
23,la tuque,47.4334,-72.7824,296.29,53,79,3.09,CA,1691621289
24,salinopolis,-0.6136,-47.3561,299.68,81,31,6.0,BR,1691621289
25,dunedin,-45.8742,170.5036,279.71,65,29,2.68,NZ,1691621021
